id,name,publisher,alignment,gender,race,image_url
93,Bizarro,DC Comics,neutral,Male,Bizarro,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/93-bizarro.jpg
95,Black Adam,DC Comics,bad,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/95-black-adam.jpg
96,Black Bolt,Marvel Comics,good,Male,Inhuman,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/96-black-bolt.jpg
97,Black Canary,DC Comics,good,Female,Metahuman,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/97-black-canary.jpg
98,Black Canary,DC Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/98-black-canary.jpg
99,Black Cat,Marvel Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/99-black-cat.jpg
100,Black Flash,DC Comics,neutral,Male,God / Eternal,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/100-black-flash.jpg
102,Black Knight III,Marvel Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/102-black-knight-iii.jpg
103,Black Lightning,DC Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/103-black-lightning.jpg
104,Black Mamba,Marvel Comics,bad,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/104-black-mamba.jpg
105,Black Manta,DC Comics,bad,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/105-black-manta.jpg
106,Black Panther,Marvel Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/106-black-panther.jpg
107,Black Widow,Marvel Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/107-black-widow.jpg
109,Blackout,Marvel Comics,bad,Male,Demon,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/109-blackout.jpg
110,Blackwing,Marvel Comics,bad,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/110-blackwing.jpg
111,Blackwulf,Marvel Comics,-,Male,Alien,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/111-blackwulf.jpg
112,Blade,Marvel Comics,good,Male,Vampire,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/112-blade.jpg
114,Bling!,Marvel Comics,good,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/114-bling!.jpg
115,Blink,Marvel Comics,good,Female,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/115-blink.jpg
118,Blizzard II,Marvel Comics,bad,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/118-blizzard-ii.jpg
119,Blob,Marvel Comics,bad,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/119-blob.jpg
120,Bloodaxe,Marvel Comics,bad,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/120-bloodaxe.jpg
121,Bloodhawk,Marvel Comics,good,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/121-bloodhawk.jpg
126,Blue Beetle III,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/126-blue-beetle-iii.jpg
127,Boba Fett,George Lucas,bad,Male,Human / Clone,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/127-boba-fett.jpg
130,Boom-Boom,Meltdown,good,Female,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/130-boom-boom.jpg
135,Box IV,Gemini V,good,-,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/135-box-iv.jpg
136,Brainiac,DC Comics,bad,Male,Android,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/136-brainiac.jpg
137,Brainiac 5,DC Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/137-brainiac-5.jpg
139,Brundlefly,-,-,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/139-brundlefly.jpg
140,Buffy,Dark Horse Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/140-buffy.jpg
141,Bullseye,Marvel Comics,bad,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/141-bullseye.jpg
142,Bumblebee,DC Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/142-bumblebee.jpg
144,Bushido,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/144-bushido.jpg
145,Cable,Marvel Comics,good,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/145-cable.jpg
146,Callisto,Marvel Comics,bad,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/146-callisto.jpg
147,Cameron Hicks,SyFy,good,Male,Alpha,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/147-cameron-hicks.jpg
148,Cannonball,Marvel Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/148-cannonball.jpg
149,Captain America,Marvel Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/149-captain-america.jpg
150,Captain Atom,DC Comics,good,Male,Human / Radiation,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/150-captain-atom.jpg
151,Captain Britain,Marvel Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/151-captain-britain.jpg
152,Captain Cold,DC Comics,neutral,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/152-captain-cold.jpg
154,Captain Hindsight,South Park,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/154-captain-hindsight.jpg
156,Captain Marvel,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/156-captain-marvel.jpg
157,Captain Marvel,Binary,good,Female,Human-Kree,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/157-captain-marvel.jpg
158,Captain Marvel II,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/158-captain-marvel-ii.jpg
160,Captain Planet,Marvel Comics,good,Male,God / Eternal,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/160-captain-planet.jpg
162,Carnage,Marvel Comics,bad,Male,Symbiote,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/162-carnage.jpg
165,Catwoman,DC Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/165-catwoman.jpg
167,Century,Marvel Comics,good,Male,Alien,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/167-century.jpg
169,Chamber,Marvel Comics,good,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/169-chamber.jpg
170,Chameleon,DC Comics,bad,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/170-chameleon.jpg
171,Changeling,Marvel Comics,bad,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/171-changeling.jpg
172,Cheetah,DC Comics,bad,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/172-cheetah.jpg
174,Cheetah III,DC Comics,bad,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/174-cheetah-iii.jpg
176,Chuck Norris,-,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/176-chuck-norris.jpg
177,Citizen Steel,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/177-citizen-steel.jpg
178,Claire Bennet,NBC - Heroes,good,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/178-claire-bennet.jpg
180,Cloak,Marvel Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/180-cloak.jpg
181,Clock King,DC Comics,bad,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/181-clock-king.jpg
185,Colossus,Marvel Comics,good,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/185-colossus.jpg
186,Copycat,Marvel Comics,neutral,Female,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/186-copycat.jpg
188,Cottonmouth,Marvel Comics,bad,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/188-cottonmouth.jpg
191,Crystal,Marvel Comics,good,Female,Inhuman,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/191-crystal.jpg
194,Cyborg,DC Comics,good,Male,Cyborg,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/194-cyborg.jpg
195,Cyborg Superman,DC Comics,bad,Male,Cyborg,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/195-cyborg-superman.jpg
196,Cyclops,Marvel Comics,good,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/196-cyclops.jpg
198,Dagger,Marvel Comics,good,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/198-dagger.jpg
200,Daphne Powell,ABC Studios,good,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/200-daphne-powell.jpg
201,Daredevil,Marvel Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/201-daredevil.jpg
202,Darkhawk,Marvel Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/202-darkhawk.jpg
203,Darkman,Universal Studios,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/203-darkman.jpg
204,Darkseid,DC Comics,bad,Male,New God,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/204-darkseid.jpg
206,Darkstar,Marvel Comics,good,Female,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/206-darkstar.jpg
207,Darth Maul,George Lucas,bad,Male,Dathomirian Zabrak,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/207-darth-maul.jpg
208,Darth Vader,George Lucas,bad,Male,Cyborg,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/208-darth-vader.jpg
209,Dash,Dark Horse Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/209-dash.jpg
210,Data,Star Trek,good,Male,Android,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/210-data.jpg
211,Dazzler,Marvel Comics,good,Female,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/211-dazzler.jpg
212,Deadman,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/212-deadman.jpg
213,Deadpool,Evil Deadpool,neutral,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/213-deadpool.jpg
214,Deadshot,DC Comics,bad,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/214-deadshot.jpg
215,Deathlok,Marvel Comics,good,Male,Cyborg,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/215-deathlok.jpg
216,Deathstroke,DC Comics,neutral,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/216-deathstroke.jpg
217,Demogoblin,Marvel Comics,bad,Male,Demon,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/217-demogoblin.jpg
218,Destroyer,Marvel Comics,bad,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/218-destroyer.jpg
219,Diamondback,Marvel Comics,bad,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/219-diamondback.jpg
220,DL Hawkins,NBC - Heroes,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/220-dl-hawkins.jpg
221,Doc Samson,Marvel Comics,good,Male,Human / Radiation,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/221-doc-samson.jpg
222,Doctor Doom,Marvel Comics,bad,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/222-doctor-doom.jpg
224,Doctor Fate,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/224-doctor-fate.jpg
225,Doctor Octopus,Marvel Comics,bad,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/225-doctor-octopus.jpg
226,Doctor Strange,Marvel Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/226-doctor-strange.jpg
227,Domino,Marvel Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/227-domino.jpg
228,Donatello,IDW Publishing,good,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/228-donatello.jpg
230,Doomsday,DC Comics,bad,Male,Alien,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/230-doomsday.jpg
231,Doppelganger,Marvel Comics,bad,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/231-doppelganger.jpg
232,Dormammu,Marvel Comics,bad,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/232-dormammu.jpg
233,Dr Manhattan,DC Comics,good,Male,Human / Cosmic,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/233-dr-manhattan.jpg
234,Drax the Destroyer,Marvel Comics,good,Male,Human / Altered,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/234-drax-the-destroyer.jpg
235,Ego,Marvel Comics,bad,-,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/235-ego.jpg
236,Elastigirl,Dark Horse Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/236-elastigirl.jpg
237,Electro,Marvel Comics,bad,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/237-electro.jpg
238,Elektra,Marvel Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/238-elektra.jpg
239,Elle Bishop,NBC - Heroes,bad,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/239-elle-bishop.jpg
240,Elongated Man,DC Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/240-elongated-man.jpg
241,Emma Frost,Marvel Comics,good,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/241-emma-frost.jpg
242,Enchantress,DC Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/242-enchantress.jpg
245,Ethan Hunt,-,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/245-ethan-hunt.jpg
246,Etrigan,DC Comics,neutral,Male,Demon,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/246-etrigan.jpg
247,Evil Deadpool,Deadpool,bad,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/247-evil-deadpool.jpg
248,Evilhawk,Marvel Comics,bad,Male,Alien,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/248-evilhawk.jpg
249,Exodus,Marvel Comics,bad,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/249-exodus.jpg
